group,session,date,end_date,section_c1_date,section_c2_date,title,flag,deadline,lecture,quiz,content,lab,assignment,note
Week 1,Lecture 1,28-01-2026,,,,Introduction to Computer and Problem Solving,,,lectures/lecture-01, ,content/week-01,,,
Week 1,Assignment 1,29-01-2026,,,,Fundamentals of Computers & Emerging Technologies,TRUE,23:59:00,,,,,assignment/01-assignment,Submission deadline
